,datetime,price,signal,action,position,equity,pnl
0,2023-10-23 21:00:00+00:00,1718.4639892578125,0,Aguardando dados,0,100000.0,0.0
1,2023-10-23 22:00:00+00:00,1779.1053466796875,0,Aguardando dados,0,100000.0,0.0
2,2023-10-23 23:00:00+00:00,1765.6456298828125,0,Aguardando dados,0,100000.0,0.0
3,2023-10-24 00:00:00+00:00,1780.5794677734375,0,Aguardando dados,0,100000.0,0.0
4,2023-10-24 01:00:00+00:00,1782.20166015625,0,Aguardando dados,0,100000.0,0.0
5,2023-10-24 02:00:00+00:00,1836.067138671875,0,Aguardando dados,0,100000.0,0.0
6,2023-10-24 03:00:00+00:00,1815.1507568359375,0,Aguardando dados,0,100000.0,0.0
7,2023-10-24 04:00:00+00:00,1820.332763671875,0,Aguardando dados,0,100000.0,0.0
8,2023-10-24 05:00:00+00:00,1811.134033203125,0,Aguardando dados,0,100000.0,0.0
9,2023-10-24 06:00:00+00:00,1810.9111328125,0,Aguardando dados,0,100000.0,0.0
10,2023-10-24 07:00:00+00:00,1809.6190185546875,0,Aguardando dados,0,100000.0,0.0
11,2023-10-24 08:00:00+00:00,1818.8035888671875,0,Aguardando dados,0,100000.0,0.0
12,2023-10-24 09:00:00+00:00,1825.198486328125,0,Aguardando dados,0,100000.0,0.0
13,2023-10-24 10:00:00+00:00,1829.810546875,0,Aguardando dados,0,100000.0,0.0
14,2023-10-24 11:00:00+00:00,1842.3948974609375,0,Aguardando dados,0,100000.0,0.0
15,2023-10-24 12:00:00+00:00,1841.033203125,0,Aguardando dados,0,100000.0,0.0
16,2023-10-24 13:00:00+00:00,1829.9306640625,0,Aguardando dados,0,100000.0,0.0
17,2023-10-24 14:00:00+00:00,1816.7325439453125,0,Aguardando dados,0,100000.0,0.0
18,2023-10-24 16:00:00+00:00,1783.035400390625,0,Aguardando dados,0,100000.0,0.0
19,2023-10-24 17:00:00+00:00,1777.4254150390625,0,Aguardando dados,0,100000.0,0.0
20,2023-10-24 18:00:00+00:00,1777.5634765625,0,Aguardando dados,0,100000.0,0.0
21,2023-10-24 19:00:00+00:00,1778.2427978515625,0,Aguardando dados,0,100000.0,0.0
22,2023-10-24 20:00:00+00:00,1772.14697265625,0,Aguardando dados,0,100000.0,0.0
23,2023-10-24 21:00:00+00:00,1790.1846923828125,0,Aguardando dados,0,100000.0,0.0
24,2023-10-24 22:00:00+00:00,1791.114501953125,0,Aguardando dados,0,100000.0,0.0
25,2023-10-24 23:00:00+00:00,1783.71728515625,0,Aguardando dados,0,100000.0,0.0
26,2023-10-25 00:00:00+00:00,1792.5968017578125,0,Aguardando dados,0,100000.0,0.0
27,2023-10-25 01:00:00+00:00,1800.7991943359375,0,Aguardando dados,0,100000.0,0.0
28,2023-10-25 02:00:00+00:00,1793.2293701171875,0,Aguardando dados,0,100000.0,0.0
29,2023-10-25 03:00:00+00:00,1788.64013671875,0,Aguardando dados,0,100000.0,0.0
30,2023-10-25 04:00:00+00:00,1794.6812744140625,0,Aguardando dados,0,100000.0,0.0
31,2023-10-25 05:00:00+00:00,1783.6427001953125,0,Aguardando dados,0,100000.0,0.0
32,2023-10-25 06:00:00+00:00,1788.48583984375,0,Aguardando dados,0,100000.0,0.0
33,2023-10-25 07:00:00+00:00,1769.3621826171875,0,Aguardando dados,0,100000.0,0.0
34,2023-10-25 08:00:00+00:00,1772.3096923828125,0,Aguardando dados,0,100000.0,0.0
35,2023-10-25 09:00:00+00:00,1777.5887451171875,0,Aguardando dados,0,100000.0,0.0
36,2023-10-25 10:00:00+00:00,1782.7979736328125,0,Aguardando dados,0,100000.0,0.0
37,2023-10-25 11:00:00+00:00,1785.2415771484375,0,Aguardando dados,0,100000.0,0.0
38,2023-10-25 12:00:00+00:00,1787.0782470703125,0,Aguardando dados,0,100000.0,0.0
39,2023-10-25 13:00:00+00:00,1794.2010498046875,0,Aguardando dados,0,100000.0,0.0
40,2023-10-25 14:00:00+00:00,1809.660888671875,0,Aguardando dados,0,100000.0,0.0
41,2023-10-25 15:00:00+00:00,1808.381591796875,0,Aguardando dados,0,100000.0,0.0
42,2023-10-25 16:00:00+00:00,1787.6572265625,0,Aguardando dados,0,100000.0,0.0
43,2023-10-25 17:00:00+00:00,1791.73095703125,0,Aguardando dados,0,100000.0,0.0
44,2023-10-25 18:00:00+00:00,1792.2490234375,0,Aguardando dados,0,100000.0,0.0
45,2023-10-25 19:00:00+00:00,1792.156982421875,0,Aguardando dados,0,100000.0,0.0
46,2023-10-25 20:00:00+00:00,1787.897216796875,0,Aguardando dados,0,100000.0,0.0
47,2023-10-25 21:00:00+00:00,1789.82470703125,0,Aguardando dados,0,100000.0,0.0
48,2023-10-25 22:00:00+00:00,1794.27978515625,0,Aguardando dados,0,100000.0,0.0
49,2023-10-25 23:00:00+00:00,1787.164794921875,0,Aguardando dados,0,100000.0,0.0
50,2023-10-26 00:00:00+00:00,1792.44677734375,0,Aguardando dados,0,100000.0,0.0
51,2023-10-26 01:00:00+00:00,1791.5902099609375,0,Aguardando dados,0,100000.0,0.0
52,2023-10-26 02:00:00+00:00,1795.390869140625,0,Aguardando dados,0,100000.0,0.0
53,2023-10-26 03:00:00+00:00,1815.8741455078125,0,Aguardando dados,0,100000.0,0.0
54,2023-10-26 04:00:00+00:00,1807.5533447265625,0,Aguardando dados,0,100000.0,0.0
55,2023-10-26 05:00:00+00:00,1799.0018310546875,0,Sem sinal,0,100000.0,0.0
56,2023-10-26 06:00:00+00:00,1814.20556640625,0,Sem sinal,0,100000.0,0.0
57,2023-10-26 07:00:00+00:00,1846.0537109375,0,Sem sinal,0,100000.0,0.0
58,2023-10-26 08:00:00+00:00,1845.740478515625,0,Sem sinal,0,100000.0,0.0
59,2023-10-26 09:00:00+00:00,1840.4072265625,0,Sem sinal,0,100000.0,0.0
60,2023-10-26 10:00:00+00:00,1831.201904296875,0,Sem sinal,0,100000.0,0.0
61,2023-10-26 11:00:00+00:00,1811.93359375,0,Sem sinal,0,100000.0,0.0
62,2023-10-26 12:00:00+00:00,1823.582275390625,0,Sem sinal,0,100000.0,0.0
63,2023-10-26 13:00:00+00:00,1808.9075927734375,0,Sem sinal,0,100000.0,0.0
64,2023-10-26 14:00:00+00:00,1787.82275390625,0,Sem sinal,0,100000.0,0.0
65,2023-10-26 15:00:00+00:00,1778.5211181640625,0,Sem sinal,0,100000.0,0.0
66,2023-10-26 16:00:00+00:00,1766.124755859375,0,Sem sinal,0,100000.0,0.0
67,2023-10-26 17:00:00+00:00,1784.6483154296875,0,Sem sinal,0,100000.0,0.0
68,2023-10-26 18:00:00+00:00,1783.564453125,0,Sem sinal,0,100000.0,0.0
69,2023-10-26 19:00:00+00:00,1792.5810546875,0,Sem sinal,0,100000.0,0.0
70,2023-10-26 20:00:00+00:00,1799.9515380859375,0,Sem sinal,0,100000.0,0.0
71,2023-10-26 21:00:00+00:00,1799.2840576171875,0,Sem sinal,0,100000.0,0.0
72,2023-10-26 22:00:00+00:00,1808.6912841796875,0,Sem sinal,0,100000.0,0.0
73,2023-10-26 23:00:00+00:00,1803.77734375,0,Sem sinal,0,100000.0,0.0
74,2023-10-27 00:00:00+00:00,1797.216796875,0,Sem sinal,0,100000.0,0.0
75,2023-10-27 01:00:00+00:00,1778.9375,0,Sem sinal,0,100000.0,0.0
76,2023-10-27 02:00:00+00:00,1790.171630859375,0,Sem sinal,0,100000.0,0.0
77,2023-10-27 03:00:00+00:00,1790.9940185546875,0,Sem sinal,0,100000.0,0.0
78,2023-10-27 04:00:00+00:00,1795.064208984375,0,Sem sinal,0,100000.0,0.0
79,2023-10-27 05:00:00+00:00,1793.7379150390625,0,Sem sinal,0,100000.0,0.0
80,2023-10-27 06:00:00+00:00,1795.805908203125,0,Sem sinal,0,100000.0,0.0
81,2023-10-27 07:00:00+00:00,1777.6409912109375,0,Sem sinal,0,100000.0,0.0
82,2023-10-27 08:00:00+00:00,1787.5260009765625,0,Sem sinal,0,100000.0,0.0
83,2023-10-27 09:00:00+00:00,1789.798095703125,0,Sem sinal,0,100000.0,0.0
84,2023-10-27 10:00:00+00:00,1785.0545654296875,0,Sem sinal,0,100000.0,0.0
85,2023-10-27 11:00:00+00:00,1781.40185546875,0,Sem sinal,0,100000.0,0.0
86,2023-10-27 12:00:00+00:00,1790.710205078125,0,Sem sinal,0,100000.0,0.0
87,2023-10-27 13:00:00+00:00,1791.73291015625,0,Sem sinal,0,100000.0,0.0
88,2023-10-27 14:00:00+00:00,1774.2366943359375,0,Sem sinal,0,100000.0,0.0
89,2023-10-27 15:00:00+00:00,1782.0419921875,0,Sem sinal,0,100000.0,0.0
